,cpr_code,cpr_iden,cpr_labe,cpr_trac1,cpr_trac2,cpr_trac3,cpr_ban_code,cpr_cde_code,cpr_ced_code,cpr_cef_code,cpr_cif_code,cpr_cmf_code,cpr_com_code,cpr_cpf_code,cpr_crf_code,cpr_cty_code,cpr_efe_code,cpr_int_code,cpr_irp_code,cpr_per_code,cpr_pfe_code,cpr_pmm_code,cpr_prf_code,cpr_url_logo,cpr_vdp_code,cpr_wfp_code,cpr_card_acti,cpr_chip_flag,cpr_inte_orde,cpr_life_cycl,cpr_magn_flag,cpr_mail_orde,cpr_prep_date,cpr_refe_curr,cpr_alert_flag,cpr_inac_perio,cpr_perso_supp,cpr_gen_duplicat,cpr_pin_sms_flag,cpr_pin_try_limi,cpr_sco_code_1st,cpr_sco_code_2nd,cpr_sco_code_3rd,cpr_sms_fee_code,cpr_tsf_fee_code,cpr_virtual_flag,cpr_com_onli_offl,cpr_crea_pin_gene,cpr_fix_mark_rate,cpr_gren_pin_flag,cpr_kyc_scan_flag,cpr_oppo_cmo_code,cpr_prim_nbi_code,cpr_prim_nbi_iden,cpr_prnt_card_ref,cpr_rene_pin_gene,cpr_card_auto_rene,cpr_fees_aftr_mont,cpr_lin0_form_code,cpr_lin1_form_code,cpr_lin2_form_code,cpr_lin3_form_code,cpr_lin4_form_code,cpr_trac1_form_code,cpr_trac2_form_code,cpr_trac3_form_code,cpr_ecom_activ_option,cpr_magn_stri_appl_prog,cpr_spec_skin_webportal,cpr_under_internet_bank,cpr_free_allow_ecom_activ,cpr_spec_skin_color_webportal,updated_at
0,25281,100719,Fusefire DEBIT CARD,Y,Y,,1,,,,6861.0,18141.0,1153901.0,,15241.0,1.0,1.0,1.0,18021,,,,,,,10.0,N,Y,Y,5,Y,Y,30,NPR,Y,,D719,,N,4,7,3,7,,,,Y,N,0.0,Y,N,,9553,423559999,N,N,N,,2,5,6,,,2,3,,,3,N,Y,,SCT,2024-08-07 07:04:04.190
1,35721,006NICCCL,Fusefire to remove,Y,Y,,1,,,,,18521.0,1153921.0,,,2.0,,,12321,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,CRED,,N,3,7,3,7,,,,Y,,,Y,N,,9393,423567899,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
2,36221,0007,Dlytica to remove,Y,Y,,1,,,,,18521.0,1153921.0,,,2.0,,,12321,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,VCEMV,,N,3,7,3,7,,,,Y,,,Y,N,,9413,423567800,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
3,36241,0005,Dlytica to remove,Y,Y,Y,1,,,,,18181.0,1153901.0,,,1.0,,,18021,,,,,,,,,Y,Y,5,Y,N,30,NPR,Y,,VCCL,,N,3,7,3,7,,,,Y,,,Y,N,,9391,423559999,N,,N,,2,5,6,1.0,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
4,36501,008,Fusefire to remove,Y,Y,,1,3621.0,5621.0,,,,1111281.0,,,4.0,,1.0,12321,,,,,,,,Y,Y,Y,5,Y,Y,30,NPR,,,VPPI,,N,3,3,3,7,,,,Y,N,,Y,N,,9433,423510599,N,Y,,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
5,36901,0008,Dlytica to remove,Y,Y,,1,,,,,17741.0,1153901.0,,1.0,,,,12321,,20.0,,,,,,,Y,Y,5,Y,N,30,NPR,,,DPLT,,N,3,7,3,7,,,,Y,,,Y,N,,9470,489325000,N,,,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
6,37321,100702,Fusefire Debit Card,Y,Y,,1,,,,6841.0,18141.0,1153901.0,,15241.0,1.0,,1.0,18021,,,,,,,10.0,,Y,Y,5,Y,Y,30,NPR,Y,,D702,,N,4,7,3,7,,,,Y,,,Y,N,,9469,423559000,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
7,37341,100799,Dlytica D Card,Y,Y,,1,,,,6841.0,18141.0,1153901.0,,15241.0,1.0,,1.0,18021,,,,,,,10.0,,Y,Y,5,Y,Y,30,NPR,Y,,D799,,N,4,7,3,7,,,,Y,,,Y,N,,9469,423559000,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
8,37361,100714,Fusefire EASY CARD,Y,Y,,1,,,,6841.0,18141.0,1153901.0,,15241.0,1.0,,1.0,18021,,,,,,,10.0,,Y,Y,5,Y,Y,30,NPR,Y,,D714,,N,3,7,3,7,,,,Y,,,Y,N,,9469,423559000,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
9,37381,100711,Fusefire Debit Card,Y,Y,,1,,,,6821.0,18121.0,1153901.0,,15261.0,1.0,,,18021,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,D711,,N,4,7,3,7,,,,Y,,,Y,N,,9469,423559800,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
10,37401,100712,Fusefire Debit Card,Y,Y,,1,,,,6841.0,18141.0,1153901.0,,15241.0,1.0,,1.0,18021,,,,,,,10.0,,Y,Y,5,Y,Y,30,NPR,Y,,D712,,N,4,7,3,7,,,,Y,,,Y,N,,9469,423559800,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
11,37881,100720,Fusefire DEBIT CARD,Y,Y,,1,,,,,18121.0,1153901.0,,15261.0,1.0,,,18021,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,D720,,N,4,7,3,7,,,,Y,,,Y,N,,9391,423559999,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
12,37901,100705,Dlytica Credit Card,Y,Y,,1,,,,,18921.0,1155101.0,,15301.0,2.0,,,18041,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,C705,,N,4,7,3,7,,,,Y,,,Y,N,,9413,423567800,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
13,37921,100706,Dlytica Credit Card,Y,Y,,1,,,,,18521.0,1153921.0,,15281.0,2.0,,,18041,,18041.0,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,C706,,N,4,7,3,7,,,,Y,,,Y,N,,9413,423567800,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
14,37941,100715,Dlytica Credit Card,Y,Y,,1,,,,,18921.0,1155101.0,,15301.0,2.0,,,18041,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,C715,,N,4,7,3,7,,,,Y,,,Y,N,,9413,423567800,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
15,37961,100716,Dlytica Credit Card,Y,Y,,1,,,,,18521.0,1153921.0,,15281.0,2.0,,,18041,,18041.0,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,C716,,N,4,7,3,7,,,,Y,,,Y,N,,9413,423567800,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
16,37981,100708,Dlytica Credit Card,Y,Y,,1,,,,,18921.0,1155101.0,,15301.0,2.0,,,18041,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,C708,,N,4,7,3,7,,,,Y,,,Y,N,,9393,423567899,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
17,38001,100709,Fusefire Credit Card,Y,Y,,1,,,,,18521.0,1153921.0,,15281.0,2.0,,,18041,,18041.0,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,C709,,N,4,7,3,7,,,,Y,,,Y,N,,9393,423567899,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
18,38021,100718,Fusefire Freedom Card,Y,Y,,1,,,,,,1111001.0,,,4.0,,1.0,18061,,,,,,,,,Y,Y,3,Y,Y,30,USD,Y,,P718,,N,3,3,3,7,,,,Y,,2.0,Y,N,,9471,423510400,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
19,38041,100724,Dlytica FREEDOM CARD,Y,Y,,1,,,,,,1110981.0,,,4.0,,1.0,18061,,,,,,,,,Y,Y,3,Y,Y,30,USD,Y,,P724,,N,3,3,3,7,,,,Y,,2.0,Y,N,,9434,423510499,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
20,38061,100713,Dlytica Prepaid Card,Y,Y,,1,,,,,,1111281.0,,,4.0,,,18421,,,,,,,,,Y,Y,5,Y,Y,30,USD,Y,,P713,,N,4,3,3,7,,,,Y,,2.0,Y,N,,9472,423510500,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
21,38081,100723,Dlytica Prepaid Card,Y,Y,,1,,,,,,1111281.0,,,4.0,,,18421,,,,,,,,,Y,Y,5,Y,Y,30,USD,Y,,P723,,N,4,3,3,7,,,,Y,,2.0,Y,N,,9433,423510599,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
22,38101,100725,Fusefire Debit Card,Y,Y,,1,,,,,18141.0,1153901.0,,15241.0,1.0,,1.0,18021,,,,,,,10.0,,Y,Y,5,Y,Y,30,NPR,Y,,D725,,N,4,7,3,7,,,,Y,,,Y,N,,9473,489325010,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
23,38541,100701,Dlytica Debit Card,Y,Y,,1,,,,,18121.0,1153901.0,,15261.0,1.0,,,18021,,,,,,,,,Y,Y,5,Y,Y,30,NPR,Y,,D701,,N,4,7,3,7,,,,Y,,,Y,N,,9469,423559000,N,,N,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
24,38901,100726,Dlytica CONTACTLESS UPI,Y,Y,,1,,,,,18181.0,1153901.0,,,1.0,,,18021,,,,,,,,N,Y,Y,5,Y,Y,30,NPR,N,,U726,,N,4,7,3,7,,,,Y,,,N,N,,9493,6291150300,N,,N,,2,5,6,,,2,3,,,402,N,,,SCT,2024-08-07 07:04:04.190
25,39301,10001,Fusefire FREEDOM CARD,Y,Y,,1,,,,,,,,,4.0,,,18061,,,,,,,,,Y,Y,3,Y,Y,30,USD,N,,VPRVR,,N,3,3,3,7,,,Y,,,,N,N,,9471,423510400,N,,,,2,5,6,,,2,3,,,3,N,,,SCT,2024-08-07 07:04:04.190
26,39701,100727,Dlytica PLATINUM DEBIT,Y,Y,,1,,,,,18141.0,1153901.0,,15241.0,1.0,,,18021,,,,,,,,,Y,Y,5,Y,Y,30,NPR,N,,YP727,,N,4,7,3,7,,,,Y,,,N,N,,9737,489325011,N,,,,2,5,6,,,2,3,,,29,N,,,SCT,2024-08-07 07:04:04.190
27,40101,100728,Dlytica MASTERCARD DEBIT,Y,Y,,1,,,,4401.0,18141.0,1153901.0,,15241.0,1.0,,,18821,,,,,,,,,Y,Y,5,Y,Y,30,NPR,N,,MDS,,N,4,3,3,7,,,,Y,,,N,N,,9757,538749740,N,,,,2,5,6,,,2,3,,,24,N,,,SCT,2024-08-07 07:04:04.190
